Id,LogPriceMo,m0_explicit_mean_oof_prediction,m0_explicit_mean_absolute_error,text_baseline_k12_mean_oof_prediction,text_baseline_k12_mean_absolute_error,m1_incremental_k6_mean_oof_prediction,m1_incremental_k6_mean_absolute_error,m1_incremental_k12_mean_oof_prediction,m1_incremental_k12_mean_absolute_error,m1_incremental_k18_mean_oof_prediction,m1_incremental_k18_mean_absolute_error,m1_incremental_k24_mean_oof_prediction,m1_incremental_k24_mean_absolute_error
5507,3.397940008672037,3.423263509863662,0.039937835710599744,3.4406258521721815,0.06749292242427893,3.4406258521721815,0.06749292242427896,3.4406258521721815,0.06749292242427907,3.4406258521721815,0.06749292242427882,3.4406258521721815,0.06749292242427893
5508,3.397940008672037,3.42535992315234,0.03578708855261623,3.439339489011874,0.060385260082718474,3.439339489011874,0.060385260082718516,3.439339489011874,0.060385260082718516,3.435923053823869,0.05696882489471311,3.435923053823869,0.05696882489471307
5509,3.397940008672037,3.4101011588182124,0.02675277049431892,3.393794677673204,0.07305750596360405,3.393794677673204,0.0730575059636041,3.393794677673204,0.07305750596360401,3.393794677673204,0.07305750596360408,3.393794677673204,0.07305750596360397
5510,3.397940008672037,3.429209161752182,0.039994984325652336,3.383744487975391,0.10264637931126952,3.383744487975391,0.10264637931126959,3.383744487975391,0.1026463793112696,3.380328052787385,0.09922994412326429,3.380328052787385,0.09922994412326427
5512,1.7708520116421442,3.4421495652268925,1.6712975535847487,3.5140106722191526,1.7431586605770086,3.5140106722191526,1.7431586605770089,3.5140106722191526,1.7431586605770089,3.5105942370311474,1.7397422253890036,3.510594237031147,1.7397422253890038
5515,3.397940008672037,3.4192909495558035,0.03949936313187021,3.471825262003655,0.09573196709407525,3.471825262003656,0.09573196709407542,3.471825262003656,0.09573196709407536,3.471825262003656,0.09573196709407528,3.471825262003656,0.09573196709407525
5516,3.795880017344075,3.4163306462278995,0.37954937111617565,3.432488958762793,0.3633910585812824,3.432488958762793,0.36339105858128234,3.432488958762793,0.3633910585812824,3.432488958762793,0.36339105858128234,3.432488958762793,0.3633910585812824
5517,3.795880017344075,3.414851058290163,0.38102895905391204,3.4486149899919427,0.3472650273521328,3.4486149899919427,0.3472650273521329,3.4486149899919427,0.3472650273521328,3.4486149899919427,0.3472650273521328,3.4486149899919427,0.3472650273521329
5519,3.733732110595231,3.40740084216132,0.3263312684339108,3.444545928560424,0.28918618203480817,3.444545928560423,0.28918618203480817,3.4431975206030807,0.2905345899921512,3.44319752060308,0.29053458999215126,3.44319752060308,0.2905345899921511
5521,3.795880017344075,3.4228390241682876,0.3730409931757877,3.3825000477335663,0.4133799696105081,3.3825000477335663,0.41337996961050827,3.382500047733566,0.41337996961050816,3.3790836125455606,0.41679640479851343,3.3790836125455606,0.41679640479851354
5525,4.096910013008056,3.4035781649951256,0.6933318480129309,3.4283940695314437,0.6685159434766131,3.4283940695314437,0.6685159434766133,3.4283940695314437,0.6685159434766133,3.4283940695314437,0.6685159434766133,3.4283940695314437,0.6685159434766134
5526,3.765916793966632,3.407718402458392,0.35819839150823995,3.360447633124162,0.4054691608424707,3.360447633124162,0.4054691608424707,3.360447633124162,0.4054691608424707,3.360447633124162,0.4054691608424707,3.360447633124162,0.4054691608424707
5536,3.397940008672037,3.424859812716437,0.04216442678424166,3.365758892332944,0.08957646097177971,3.365758892332944,0.08957646097177965,3.365758892332944,0.08957646097177978,3.365758892332944,0.0895764609717796,3.365758892332944,0.08957646097177965
5539,3.795880017344075,3.4137531546544544,0.38212686268962043,3.4318569841716444,0.36402303317243034,3.4318569841716453,0.36402303317243023,3.4318569841716444,0.36402303317243034,3.4318569841716444,0.36402303317243034,3.4318569841716444,0.36402303317243023
5540,3.9208187539523753,3.4208316700637993,0.49998708388857593,3.3761369863959096,0.544681767556466,3.3761369863959096,0.5446817675564659,3.3761369863959096,0.5446817675564658,3.372720551207904,0.5480982027444713,3.372720551207904,0.5480982027444713
5547,3.9208187539523753,3.396895135673038,0.5239236182793376,3.4194364894846565,0.5013822644677187,3.4194364894846574,0.5013822644677187,3.4194364894846565,0.5013822644677187,3.4194364894846565,0.5013822644677187,3.4194364894846565,0.5013822644677187
5549,3.619788758288394,3.4078129414441514,0.21197581684424255,3.4690312872972475,0.15240064832005357,3.4690312872972475,0.15240064832005368,3.4690312872972475,0.15240064832005362,3.4690312872972475,0.15240064832005354,3.4690312872972475,0.1524006483200536
5550,3.795880017344075,3.407214631631998,0.3886653857120764,3.405824128567354,0.39005588877672137,3.405824128567353,0.3900558887767214,3.405824128567354,0.3900558887767215,3.405824128567354,0.39005588877672137,3.405824128567354,0.3900558887767215
5552,3.795880017344075,3.40459460804244,0.3912854093016347,3.4398884157450014,0.3559916015990738,3.4398884157450014,0.3559916015990738,3.4398884157450014,0.3559916015990738,3.4398884157450014,0.3559916015990737,3.4398884157450014,0.3559916015990737
5555,1.661181443446619,3.4595309978645377,1.7983495544179189,3.4909070736197405,1.829725630173121,3.4909070736197405,1.829725630173121,3.4909070736197405,1.829725630173121,3.500473092146156,1.8392916486995357,3.500473092146156,1.8392916486995357
5558,2.920818753952376,3.4217403494300505,0.5009215954776745,3.4155716182093,0.4947528642569242,3.4155716182093,0.49475286425692444,3.4155716182093,0.49475286425692444,3.4121551830212944,0.49133642906891895,3.4121551830212953,0.49133642906891895
5559,2.765916793966632,3.430417660554549,0.664500866587918,3.4585530403203313,0.6926362463536991,3.458553040320331,0.6926362463536992,3.458553040320331,0.6926362463536991,3.4551366051323256,0.6892198111656939,3.4551366051323256,0.6892198111656939
5561,3.397940008672037,3.4074506495157193,0.031151007356209105,3.376318841165857,0.09235009706934598,3.376318841165857,0.09235009706934598,3.376318841165857,0.09235009706934598,3.3763188411658573,0.09235009706934597,3.3763188411658573,0.09235009706934594
5563,3.6989700043360174,2.673477573969116,1.0254924303669015,2.6971163819709933,1.0018536223650236,2.6638191370171156,1.0351508673189014,2.6713268918803976,1.0276431124556198,2.648233729191435,1.0507362751445821,2.61653819182497,1.082431812511048
5568,2.6989700043360187,3.432500325158415,0.7335303208223967,3.397462824910884,0.6984928205748645,3.397462824910884,0.6984928205748645,3.397462824910884,0.6984928205748645,3.397462824910883,0.6984928205748645,3.397462824910884,0.6984928205748645
5569,3.397940008672037,3.43089509950945,0.03834738317251141,3.4189468916397474,0.0624972487531241,3.418946891639748,0.062497248753124235,3.417598483682405,0.06320678726623452,3.417598483682405,0.06320678726623455,3.4175984836824043,0.0632067872662345
5571,3.795880017344075,3.417113570139546,0.3787664472045291,3.437527408967753,0.3583526083763225,3.437527408967753,0.35835260837632243,3.437527408967753,0.35835260837632243,3.437527408967753,0.35835260837632243,3.437527408967753,0.3583526083763223
5574,3.397940008672037,3.4198133844183567,0.03952118712464794,3.454558040705172,0.08779850451665938,3.454558040705172,0.08779850451665949,3.454558040705172,0.08779850451665942,3.454558040705172,0.08779850451665945,3.454558040705172,0.08779850451665952
5576,3.397940008672037,3.4138838498924002,0.029825566325019447,3.4311089825439183,0.048623497265506764,3.431108982543919,0.048623497265506764,3.429760574586576,0.04933303577861716,3.429760574586576,0.04933303577861714,3.429760574586575,0.04933303577861705
5579,3.397940008672037,3.4236949921942483,0.03471785034554138,3.4549195640643164,0.07608063818817819,3.4549195640643164,0.07608063818817812,3.4549195640643164,0.07608063818817819,3.451503128876311,0.07266420300017284,3.451503128876311,0.07266420300017293
5819,-0.2218487496163564,1.425631175900682,1.6474799255170378,1.4530679618384479,1.6749167114548045,1.4546899294149367,1.676538679031293,1.4610750507900605,1.6829238004064169,1.4667721635326867,1.6886209131490433,1.3284238563666189,1.5502726059829752
5821,1.4771212547196624,1.2274902612645922,0.3707022430187371,1.176419996149336,0.44223516604194596,1.182714255233213,0.4359409069580689,1.1788106388348538,0.43984452335642815,1.154738987216699,0.46391617497458276,1.0787622394595477,0.46396802708711204
5823,2.255272505103306,2.589641649466222,0.8312835509382058,2.2755307251280947,0.752550199823356,2.2773558530636167,0.6762805444012697,1.9972919666253783,0.6622962572653582,2.028319281484193,0.6323907101533319,2.018021104667785,0.5892327293019969
5824,2.4771212547196626,2.713819203988863,0.6014513329750375,2.5839015680300017,0.49234397303847055,2.509504932997563,0.4846961937177454,2.297546229193116,0.3973508666706742,2.155718829247274,0.474206676744443,2.1569836077125912,0.405879403964511
5825,2.7781512503836434,2.604874208126379,0.5369052036027855,2.480882170989093,0.6087848905598479,2.420865678566307,0.6162022283058924,2.3355942198461603,0.6096525310365353,2.2859222926512763,0.5614900454997367,2.2515566419233455,0.5265946084602973
5827,3.4771212547196626,2.678808721158969,0.7983125335606936,2.7305970238872637,0.746524230832399,2.7576252801089374,0.7194959746107255,2.7576252801089374,0.7194959746107252,2.6955013360965268,0.781619918623136,2.7576252801089374,0.7194959746107255
5828,-2.0457574905606752,0.7332062987705033,2.7789637893311787,0.7332062987705031,2.7789637893311787,0.7332062987705033,2.7789637893311787,0.7332062987705033,2.7789637893311787,0.7332062987705033,2.7789637893311787,0.7332062987705033,2.7789637893311787
5829,-1.0457574905606752,0.5453283746716744,1.5910858652323498,0.5453283746716744,1.5910858652323498,0.5453283746716743,1.5910858652323496,0.5453283746716744,1.5910858652323498,0.5453283746716744,1.5910858652323498,0.5453283746716743,1.5910858652323496
5830,-0.3467874862246563,0.7180955141895098,1.064883000414166,0.7176917224686429,1.064479208693299,0.7176917224686429,1.064479208693299,0.7176917224686429,1.064479208693299,0.7176917224686429,1.064479208693299,0.7176917224686429,1.064479208693299
5831,-0.0457574905606751,0.6454511557913695,0.6912086463520446,0.6454511557913695,0.6912086463520445,0.6454511557913694,0.6912086463520445,0.6454511557913694,0.6912086463520446,0.6454511557913694,0.6912086463520445,0.6454511557913695,0.6912086463520445
5832,0.4313637641589873,0.6007801371888293,0.2671085898039635,0.6007801371888294,0.26710858980396346,0.6007801371888293,0.2671085898039635,0.6007801371888294,0.26710858980396346,0.6007801371888294,0.2671085898039635,0.6007801371888293,0.26710858980396346
5834,0.9542425094393248,1.5205990301771406,1.0488781610157836,1.5234485442558836,1.0517276750945268,1.5234485442558838,1.0517276750945268,1.5234485442558838,1.0517276750945268,1.5234485442558838,1.0517276750945268,1.5234485442558838,1.0517276750945268
5836,1.6532125137753435,1.4496322325077187,0.8638352815045607,1.4872429800673888,0.9014460290642308,1.4872429800673888,0.9014460290642308,1.4872429800673888,0.9014460290642307,1.4872429800673888,0.9014460290642307,1.4872429800673888,0.9014460290642308
5891,1.619788758288394,2.0753781109370317,0.7140423225996722,1.819544214683073,0.6315053866025481,1.7681669362507122,0.613102048036514,1.7532552050260688,0.5416358897739891,1.8110738090807632,0.5476951037649983,1.7194368838807712,0.5019892672222304
5892,1.619788758288394,2.047832750837558,0.5938648858136433,1.8884617083378938,0.578376709754878,1.898814385452667,0.5709905399894499,1.83543006123906,0.5477072537996734,1.9102904460357277,0.5403589507994546,1.8535809772250462,0.5166234218550996
5893,2.199572354905204,2.613653286635458,0.5101987367214766,2.4033856363909485,0.373500391284285,2.2678011438653045,0.39928557947531973,2.256871075885257,0.3313973924674351,2.19185591658555,0.3964125517671424,2.200144738600195,0.3556954032939238
5894,2.4771212547196626,2.899689483188209,0.5319781999712914,2.6377222794973703,0.3743609657698983,2.550594362411432,0.37944446850267366,2.5318754168551214,0.3229560342352503,2.539023464851816,0.34706647611348124,2.4417361819181322,0.3216894702274513
5895,2.7533276666586115,2.7264781266975078,0.45514803469925075,2.464462550088631,0.5430036231534888,2.462692557114112,0.544773616128008,2.379482555038844,0.5311732767379322,2.376866235822285,0.5337895959544916,2.2583502126786863,0.5789371201721825
5896,3.028028723600244,2.7865182937937663,0.4124785945706848,2.7865182937937663,0.41247859457068464,2.7865182937937663,0.4124785945706847,2.7865182937937663,0.4124785945706847,2.7865182937937663,0.4124785945706849,2.7865182937937663,0.4124785945706847
5897,3.2430380486862944,2.6377463540716968,0.6220063408041623,2.6377463540716968,0.6220063408041623,2.6377463540716968,0.6220063408041624,2.6377463540716968,0.6220063408041623,2.6377463540716968,0.6220063408041624,2.6377463540716968,0.6220063408041624
5898,3.40936947045282,2.786041846209934,0.6271168990587426,2.7860418462099337,0.6271168990587428,2.7761406078681174,0.6370181374005595,2.785659554271373,0.6274991909973033,2.7808927959991037,0.6322659492695724,2.7907940343409203,0.6223647109277557
5925,0.255272505103306,1.2723830784201902,1.0171105733168844,1.313821740506075,1.058549235402769,1.368585458564875,1.1133129534615687,1.3383847844891132,1.0831122793858075,1.358922365861386,1.1036498607580802,1.3600311945976553,1.1047586894943495
5926,0.5563025007672873,1.2723345717356098,0.7160320709683223,1.3405766003344242,0.784274099567137,1.3422407511324408,0.7859382503651535,1.2996791852892235,0.7433766845219363,1.3304884307936922,0.774185930026405,1.3378116676822578,0.7815091669149707
5927,1.0334237554869496,1.998306662532101,0.9648829070451518,2.013716601043993,0.9802928455570431,2.00284891574659,0.9694251602596404,1.9639797386370315,0.9305559831500823,1.9849089234964357,0.951485168009486,2.0032271503870684,0.9698033949001189
5928,1.255272505103306,2.0410430560564996,0.7857705509531933,2.037003796176905,0.7817312910735992,2.002759155486046,0.7474866503827398,2.04416329415434,0.7888907890510338,2.0628293858621465,0.8075568807588402,2.049081789323048,0.7938092842197417
5929,1.5563025007672873,2.2875310109697833,0.7312285102024965,2.173788479448981,0.6483063247124441,2.1822737959975003,0.6567916412609633,2.1927914648533813,0.6673093101168448,2.208351191048576,0.6828690363120391,2.2834014201678197,0.7496385402167023
5930,2.03342375548695,2.9486659911363167,0.9152422356493666,2.9486659911363167,0.9152422356493665,2.9486659911363167,0.9152422356493665,2.9486659911363167,0.9152422356493665,2.9486659911363167,0.9152422356493665,2.9486659911363167,0.9152422356493665
